Sample;X(ms) [22.03.2026 17:05:56 100 UTC];"Int_PT10[%MD98]";"Int_FC10[%MD102]";"Int_EV11_CO[%MD106]";"FT10_Int[%MD22]";"PT10_Int[%MD30]"
508;1774199206970,109640;50000;30000;23166;31345;30575
509;1774199207070,122384;50000;30000;30267;31473;30575
510;1774199207170,120632;50000;29976;16504;31591;30714
511;1774199207270,122528;50000;29976;12283;31713;30852
512;1774199207370,122504;50000;29969;6925;31713;30971
513;1774199207470,122504;50000;29969;12726;31834;30971
514;1774199207570,121808;50000;30000;29;31953;31110
515;1774199207670,111832;50000;30000;0;32063;31268
516;1774199207770,127608;50000;30000;0;32063;31407
517;1774199207870,119560;50000;30000;277;32147;31526
518;1774199207970,123640;50000;27747;0;32188;31526
519;1774199208070,125680;50000;27747;0;32153;31684
520;1774199208170,113112;50000;30000;0;31988;31823
521;1774199208270,124648;50000;30000;7494;31988;31961
522;1774199208370,121352;50000;27109;0;31644;31961
523;1774199208470,128320;50000;27109;0;31192;32080
524;1774199208570,110912;50000;30000;42892;30686;32159
525;1774199208670,140600;50000;30000;57020;30686;32258
526;1774199208770,118176;50000;30000;22334;30075;32258
527;1774199208870,122112;50000;30000;76670;29436;32357
528;1774199208970,125848;50000;30000;93701;28802;32437
529;1774199209070,124632;50000;30000;100000;28802;32536
530;1774199209170,120400;50000;30000;66852;28186;32536
531;1774199209270,136448;50000;30000;100000;27590;32615
532;1774199209370,110872;50000;30000;100000;27014;32714
533;1774199209470,122560;50000;30000;100000;27014;32773
534;1774199209570,108528;50000;30000;100000;26438;32773
535;1774199209670,118704;50000;30000;100000;25885;32833
536;1774199209770,126192;50000;30000;100000;25341;32892
537;1774199209870,121168;50000;30000;100000;24823;32971
538;1774199209970,122288;50000;30000;100000;24823;33070
539;1774199210070,120792;50000;30000;100000;24427;33070
540;1774199210170,110240;50000;30000;100000;24326;33130
541;1774199210270,124400;50000;30000;100000;24442;33189
542;1774199210370,121160;50000;30000;100000;24442;33248
543;1774199210470,118208;50000;30000;100000;24647;33248
544;1774199210570,137560;50000;30000;100000;24893;33328
545;1774199210670,123648;50000;30000;100000;25179;33407
546;1774199210770,124128;50000;30000;100000;25179;33486
547;1774199210870,125808;50000;30000;100000;25483;33486
548;1774199210970,123992;50000;30000;100000;25784;33585
